soldToParty,businessPartner,Country,Industry,Material,MaterialGroup,MaterialType,productHierarchy,distChannel,division,salesOrg,version,valueType,changeId,RecordType,RequestId,CalendarDay,CalendarMonth,CalendarWeek,FiscalPeriod,FiscalVariant,baseUom,statsCurrency,creditMemosCost,creditMemosQuantity,netValueOfCreditMemos,costIncomingOrders,incomingOrders,netValueIncomingOrders,costInvoicedSales,salesQuantity,netValueSalesVol,openOrdersQuantity,netValueOpenOrders,salesOrderItem,incomingReturnsCost,returnsQuantity,netValueIncomingReturns,noReturnsItems,totalSubtotal
S86,,,,M39,,,,D6,D0,S98,V67,100,,,APO_RDFH54LVJWFRAF0O0W9W5DIW84,,201003,201010,2010003,K4,ST,EUR,"     1,00",740,"   310,00","    970,00",170,"    940,00","   210,00",960,"   630,00",700,"   130,00","3,40,000","  230,00",890,"   110,00","6,20,000","     0,00"
S86,,,,M39,,,,D6,D0,S98,V67,100,,,APO_RDFH565QH59UGPSXR4OAK4E84K,,201003,201010,2010003,K4,ST,EUR,"     1,00",740,"   310,00","    970,00",170,"    940,00","   210,00",960,"   630,00",700,"   130,00","3,40,000","  230,00",890,"   110,00","6,20,000","     0,00"
S86,,,,M39,,,,D6,D0,S98,V67,100,,,APO_RDFH52LNSWISV51CBL9Z0ISJOK,08.03.2010,201003,201010,2010003,K4,ST,EUR,"     1,00",740,"   310,00","    970,00",170,"    940,00","   210,00",960,"   630,00",700,"   130,00","3,40,000","  230,00",890,"   110,00","6,20,000","   420,00"
S57,,,,M26,,,,D9,D1,S97,V00,81,,,APO_RDFK5URU2QSJ94N90RRRGMONTW,28.09.2010,201009,201039,2010009,K4,ST,EUR,"     1,00",970,"   810,00","    250,00",880,"    800,00","   970,00",700,"   890,00",390,"   800,00","8,40,000","  100,00",920,"   620,00","3,90,000","   730,00"
S57,,,,M26,,,,D9,D1,S97,V00,81,,,APO_RDFK6D6B7YAURMCVP08GHUTY90,28.09.2010,201009,201039,2010009,K4,ST,EUR,"     1,00",970,"   810,00","    250,00",880,"    800,00","   970,00",700,"   890,00",390,"   800,00","8,40,000","  100,00",920,"   620,00","3,90,000","   730,00"
S50,,,,M37,,,,D8,D5,S66,V85,7,,,APO_RDFH51WG4SI5PFOJX0PCMT59K4,10.09.2010,201009,201036,2010009,K4,ST,EUR,"     1,00",80,"   950,00","    880,00",90,"    680,00","   940,00",180,"   950,00",800,"   690,00","9,70,000","  830,00",120,"   960,00","6,20,000","   970,00"
S29,,,,M69,,,,D8,D6,S72,V92,100,,,APO_RDFK5URU2QSJ94N90RRRGMONTW,28.11.2010,201011,201047,2010011,K4,ST,EUR,"     1,00",410,"   960,00","    250,00",970,"    780,00","   860,00",970,"   410,00",940,"   630,00","7,50,000","  260,00",870,"    50,00","7,00,000","   870,00"
S29,,,,M69,,,,D8,D6,S72,V92,100,,,APO_RDFK6D6B7YAURMCVP08GHUTY90,28.11.2010,201011,201047,2010011,K4,ST,EUR,"     1,00",410,"   960,00","    250,00",970,"    780,00","   860,00",970,"   410,00",940,"   630,00","7,50,000","  260,00",870,"    50,00","7,00,000","   870,00"
S81,,,,M61,,,,D0,D6,S78,V72,87,,,APO_RDFK5URU2QSJ94N90RRRGMONTW,06.11.2010,201011,201044,2010011,K4,ST,EUR,"     1,00",960,"    40,00","    470,00",970,"    930,00","   960,00",810,"   550,00",710,"   690,00","9,70,000","  360,00",840,"   970,00","4,00,000","   870,00"
S81,,,,M61,,,,D0,D6,S78,V72,87,,,APO_RDFK6D6B7YAURMCVP08GHUTY90,06.11.2010,201011,201044,2010011,K4,ST,EUR,"     1,00",960,"    40,00","    470,00",970,"    930,00","   960,00",810,"   550,00",710,"   690,00","9,70,000","  360,00",840,"   970,00","4,00,000","   870,00"
